T,Euribor1Y,HICP,CORE,IPI,EXRATE,NFCRATE,VOL,M3,GDP,LP,UNRATE
2000.0,3.9495,4.32347018521386,4.38027510163508,4.58499882712431,4.46909973895816,5.0,31.1176578947368,15.3658787016711,,,9.4396
2000.0833333333333,4.1114,4.32519169792134,4.38077585277223,4.59539393112465,4.45375086308119,5.17,33.0092421052632,15.3706941649623,,,9.35244
2000.1666666666667,4.2675,4.32730642247365,4.38127635328318,4.60157951785736,4.43772827308257,5.2,30.1751428571429,15.3770191955574,14.6955817668452,4.45985092617524,9.26185
2000.25,4.3645,4.32717438312573,4.38190162686073,4.60670510570618,4.4230799063143,5.27,32.82115625,15.3847098473506,,,9.17638
2000.3333333333333,4.8485,4.32862585794677,4.38227660342909,4.62694871198282,4.40365665490187,5.56,29.15741,15.3831728963657,,,9.1248
2000.4166666666667,4.9649,4.33244240531812,4.38402463733655,4.60874800733598,4.4396161960604,5.65,24.59269,15.3817983512312,14.7046278699888,4.46599885705793,9.0833
2000.5,5.105,4.33388625934595,4.38427410721436,4.61890037879999,4.43290660750176,5.74,21.4593947368421,15.3847798040794,,,9.03693
2000.5833333333333,5.2484,4.33585179755327,4.38614315018572,4.62494269325596,4.40498268356028,5.88,20.5352666666667,15.3901046128229,,,8.98178
2000.6666666666667,5.2192,4.34055338646731,4.38713854656006,4.62091854295623,4.38447756073153,5.87,22.4469052631579,15.3904655083571,14.7112894449469,4.4693581883515,8.92801
2000.75,5.2184,4.34120464015363,4.38850560077159,4.62192609971653,4.37217589806105,5.94,28.336095,15.3940456593815,,,8.81925
2000.8333333333333,5.1933,4.34419495636487,4.39036675894888,4.62795021431991,4.37980364225218,5.98,26.97079,15.3948087994853,,,8.75689
2000.9166666666667,4.8809,4.34289591747084,4.38974675768902,4.64482406380979,4.41464365350269,5.74,28.2073882352941,15.396384990659,14.7159452038931,4.47043558116536,8.67834
2001.0,4.5736,4.34224576466204,4.39024278944522,4.62995021498658,4.45378923995858,5.61,25.78276,15.4298438683608,,,8.57203
2001.0833333333333,4.5913,4.34523297384487,4.39148179344464,4.63592632838992,4.44514808164351,5.66,22.7318388888889,15.4348350368424,,,8.5343
2001.1666666666667,4.4711,4.34743518990426,4.39284292710773,4.62694871198282,4.44716555902352,5.53,28.85265,15.4408151266189,14.7268280035258,4.4790131891534,8.49109
2001.25,4.4811,4.35118075450278,4.39518962120016,4.61788976729407,4.44150056150036,5.55,28.5889470588235,15.447064302525,,,8.46901
2001.3333333333333,4.5205,4.35555431434277,4.3962992939606,4.6289507146535,4.42270558942411,5.59,22.541065,15.4529532502384,,,8.48684
2001.4166666666667,4.3125,4.35722151575491,4.39826901021975,4.6259462056332,4.40774085245561,5.4,22.3186631578947,15.462662857304,14.7273513635864,4.48209266570758,8.46107
